"Main Category","Category","Terms"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Kinase"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Serine/threonine-protein kinase"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Transferase"
"Functional Annotations","UP_KW_PTM","Acetylation"
"Functional Annotations","UP_KW_PTM","Phosphoprotein"
"Functional Annotations","UP_KW_PTM","Ubl conjugation"
"Functional Annotations","UP_KW_PTM","Isopeptide bond"
"Functional Annotations","UP_SEQ_FEATURE","ACT_SITE:Proton acceptor"
"Functional Annotations","UP_SEQ_FEATURE","CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2)"
"Functional Annotations","UP_SEQ_FEATURE","DOMAIN:Protein kinase"
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:KK->AA: Loss of activity."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:T->A: Decrease in the binding to DLG1."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:T->E: TP53-binding."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:V->A: Decrease in the binding to DLG1."
"Functional Annotations","UP_SEQ_FEATURE","REGION:PDZ-interaction"
"Gene Ontology","GOTERM_BP_DIRECT","mitotic cell cycle"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of proteasomal ubiquitin-dependent protein catabolic process"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of stress-activated MAPK cascade"
"Gene Ontology","GOTERM_BP_DIRECT","cellular response to UV"
"Gene Ontology","GOTERM_BP_DIRECT","proteasome-mediated ubiquitin-dependent protein catabolic process"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of inflammatory response"
"Gene Ontology","GOTERM_BP_DIRECT","stress-activated MAPK cascade"
"Gene Ontology","GOTERM_CC_DIRECT","nucleus"
"Gene Ontology","GOTERM_MF_DIRECT","nucleotide binding"
"Gene Ontology","GOTERM_MF_DIRECT","protein kinase activity"
"Gene Ontology","GOTERM_MF_DIRECT","protein serine/threonine kinase activity"
"Gene Ontology","GOTERM_MF_DIRECT","MAP kinase kinase activity"
"Gene Ontology","GOTERM_MF_DIRECT","protein tyrosine kinase activity"
"Gene Ontology","GOTERM_MF_DIRECT","protein binding"
"Gene Ontology","GOTERM_MF_DIRECT","ATP binding"
"Gene Ontology","GOTERM_MF_DIRECT","kinase activity"
"Gene Ontology","GOTERM_MF_DIRECT","transferase activity"
"Gene Ontology","GOTERM_MF_DIRECT","protein serine kinase activity"
"General Annotations","CHROMOSOME","8"
"General Annotations","CYTOGENETIC_LOCATION","8p21.1"
"General Annotations","ENTREZ_GENE_SUMMARY","This gene encodes a serine/threonine protein kinase related to the dual specific mitogen-activated protein kinase kinase (MAPKK) family. Evidence suggests that mitotic phosphorylation is required for its catalytic activity. The encoded protein may be involved in the activation of lymphoid cells and support testicular functions, with a suggested role in the process of spermatogenesis. Overexpression of this gene has been implicated in tumorigenesis. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jul 2013]"
"General Annotations","UP_COMMENT_ACTIVITY_REGULATION","Activated by phosphorylation. {ECO:0000250}."
"General Annotations","UP_COMMENT_ALTERNATIVE_PRODUCTS","Event=Alternative splicing; Named isoforms=2; Name=1;   IsoId=Q96KB5-1; Sequence=Displayed; Name=2;   IsoId=Q96KB5-2; Sequence=VSP_055269;"
"General Annotations","UP_COMMENT_CATALYTIC_ACTIVITY","Reaction=L-seryl-[protein] + ATP = O-phospho-L-seryl-[protein] + ADP +   H(+); Xref=Rhea:RHEA:17989, Rhea:RHEA-COMP:9863, Rhea:RHEA-   COMP:11604, ChEBI:CHEBI:15378, ChEBI:CHEBI:29999, ChEBI:CHEBI:30616,   ChEBI:CHEBI:83421, ChEBI:CHEBI:456216; EC=2.7.12.2;"
"General Annotations","UP_COMMENT_CATALYTIC_ACTIVITY","Reaction=L-threonyl-[protein] + ATP = O-phospho-L-threonyl-[protein] +   ADP + H(+); Xref=Rhea:RHEA:46608, Rhea:RHEA-COMP:11060, Rhea:RHEA-   COMP:11605, ChEBI:CHEBI:15378, ChEBI:CHEBI:30013, ChEBI:CHEBI:30616,   ChEBI:CHEBI:61977, ChEBI:CHEBI:456216; EC=2.7.12.2;"
