"Main Category","Category","Terms"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Cell cycle"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Cell division"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Mitosis"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Ubl conjugation pathway"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Transferase"
"Functional Annotations","UP_KW_PTM","Acetylation"
"Functional Annotations","UP_KW_PTM","Phosphoprotein"
"Functional Annotations","UP_KW_PTM","Ubl conjugation"
"Functional Annotations","UP_SEQ_FEATURE","ACT_SITE:Glycyl thioester intermediate"
"Functional Annotations","UP_SEQ_FEATURE","DOMAIN:UBC core"
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:C->S: Loss of function; inhibition of cyclin-B degradation."
"Functional Annotations","UP_SEQ_FEATURE","REGION:Disordered"
"Gene Ontology","GOTERM_BP_DIRECT","protein polyubiquitination"
"Gene Ontology","GOTERM_BP_DIRECT","ubiquitin-dependent protein catabolic process"
"Gene Ontology","GOTERM_BP_DIRECT","exit from mitosis"
"Gene Ontology","GOTERM_BP_DIRECT","free ubiquitin chain polymerization"
"Gene Ontology","GOTERM_BP_DIRECT","protein ubiquitination"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of mitotic metaphase/anaphase transition"
"Gene Ontology","GOTERM_BP_DIRECT","anaphase-promoting complex-dependent catabolic process"
"Gene Ontology","GOTERM_BP_DIRECT","SCF-dependent proteasomal ubiquitin-dependent protein catabolic process"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of exit from mitosis"
"Gene Ontology","GOTERM_BP_DIRECT","protein modification by small protein conjugation"
"Gene Ontology","GOTERM_BP_DIRECT","proteasome-mediated ubiquitin-dependent protein catabolic process"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of mitotic metaphase/anaphase transition"
"Gene Ontology","GOTERM_BP_DIRECT","cell division"
"Gene Ontology","GOTERM_BP_DIRECT","protein K48-linked ubiquitination"
"Gene Ontology","GOTERM_BP_DIRECT","protein K11-linked ubiquitination"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of ubiquitin protein ligase activity"
"Gene Ontology","GOTERM_CC_DIRECT","ubiquitin ligase complex"
"Gene Ontology","GOTERM_CC_DIRECT","nucleus"
"Gene Ontology","GOTERM_CC_DIRECT","nucleoplasm"
"Gene Ontology","GOTERM_CC_DIRECT","anaphase-promoting complex"
"Gene Ontology","GOTERM_CC_DIRECT","cytosol"
"Gene Ontology","GOTERM_CC_DIRECT","plasma membrane"
"Gene Ontology","GOTERM_MF_DIRECT","nucleotide binding"
"Gene Ontology","GOTERM_MF_DIRECT","ubiquitin-protein transferase activity"
"Gene Ontology","GOTERM_MF_DIRECT","protein binding"
"Gene Ontology","GOTERM_MF_DIRECT","ATP binding"
"Gene Ontology","GOTERM_MF_DIRECT","transferase activity"
"Gene Ontology","GOTERM_MF_DIRECT","ubiquitin-like protein transferase activity"
